,work_year,job_title,salary_in_usd
172,2022,Data Analyst,112900
173,2022,Data Analyst,90320
174,2022,Data Engineer,117789
175,2022,Data Scientist,215300
176,2022,Data Scientist,158200
177,2022,Data Engineer,209100
178,2022,Data Engineer,154600
179,2022,Data Analyst,115934
180,2022,Data Analyst,81666
181,2022,Data Engineer,175000
182,2022,Data Engineer,98158
183,2022,Data Analyst,58000
184,2022,Data Engineer,183600
185,2022,Data Analyst,52351
186,2022,Data Scientist,180000
187,2022,Data Scientist,71982
188,2022,Data Scientist,45807
189,2022,Data Engineer,78526
190,2022,Data Engineer,58894
191,2022,Data Scientist,260000
192,2022,Data Engineer,63900
193,2022,Data Scientist,180000
194,2022,Data Scientist,80000
195,2022,Data Engineer,82900
196,2022,Data Engineer,100800
197,2022,Data Scientist,140400
198,2022,Data Analyst,39263
199,2022,Data Engineer,104702
200,2022,Data Engineer,91614
201,2022,Machine Learning Engineer,189650
202,2022,Machine Learning Engineer,164996
203,2022,Data Engineer,98158
204,2022,Data Engineer,78526
205,2022,Data Scientist,215300
206,2022,Data Engineer,209100
207,2022,Data Engineer,154600
208,2022,Data Engineer,180000
209,2022,Data Engineer,80000
210,2022,Machine Learning Engineer,120000
211,2022,Data Engineer,105000
212,2022,Data Scientist,31615
213,2022,Data Scientist,18442
214,2022,Data Engineer,120000
215,2022,Data Scientist,104890
216,2022,Data Engineer,100000
217,2022,Data Scientist,140000
218,2022,Data Analyst,135000
219,2022,Data Analyst,50000
220,2022,Data Scientist,220000
221,2022,Data Scientist,140000
222,2022,Data Scientist,183228
223,2022,Data Scientist,91614
224,2022,Data Scientist,185100
225,2022,Machine Learning Engineer,220000
226,2022,Data Scientist,200000
227,2022,Data Scientist,120000
228,2022,Data Engineer,216000
229,2022,Data Engineer,210000
230,2022,Machine Learning Engineer,120000
231,2022,Data Scientist,230000
232,2022,Data Scientist,100000
233,2022,Data Scientist,165000
234,2022,Data Scientist,52396
235,2022,Data Engineer,115000
236,2022,Data Engineer,65000
237,2022,Data Scientist,69336
238,2022,Data Scientist,135000
239,2022,Data Scientist,78000
240,2022,Data Analyst,135000
241,2022,Data Analyst,100000
242,2022,Data Analyst,90320
243,2022,Data Analyst,85000
244,2022,Data Analyst,75000
245,2022,Machine Learning Engineer,214000
246,2022,Machine Learning Engineer,192600
247,2022,Data Analyst,112900
248,2022,Data Engineer,155000
249,2022,Data Scientist,141300
250,2022,Data Scientist,102100
251,2022,Data Analyst,115934
252,2022,Data Analyst,81666
253,2022,Data Engineer,206699
254,2022,Data Engineer,99100
255,2022,Data Engineer,130000
256,2022,Data Engineer,115000
257,2022,Data Engineer,110500
258,2022,Data Engineer,130000
259,2022,Data Analyst,99050
260,2022,Data Engineer,160000
261,2022,Data Scientist,205300
262,2022,Data Scientist,140400
263,2022,Data Scientist,176000
264,2022,Data Scientist,144000
265,2022,Data Engineer,200100
266,2022,Data Engineer,160000
267,2022,Data Engineer,145000
268,2022,Data Engineer,70500
269,2022,Data Scientist,205300
270,2022,Data Scientist,140400
271,2022,Data Engineer,175100
272,2022,Data Engineer,140250
273,2022,Data Analyst,116150
274,2022,Data Engineer,54000
275,2022,Data Analyst,170000
276,2022,Data Analyst,65438
277,2022,Data Analyst,80000
278,2022,Data Scientist,140000
279,2022,Data Scientist,210000
280,2022,Data Scientist,140000
281,2022,Data Analyst,100000
282,2022,Data Analyst,69000
283,2022,Data Scientist,210000
284,2022,Data Scientist,140000
285,2022,Data Scientist,210000
286,2022,Data Analyst,150075
287,2022,Data Engineer,100000
288,2022,Data Engineer,25000
289,2022,Data Analyst,126500
290,2022,Data Analyst,106260
291,2022,Data Engineer,220110
292,2022,Data Engineer,160080
293,2022,Data Analyst,105000
294,2022,Data Analyst,110925
295,2022,Data Analyst,45807
296,2022,Data Scientist,140000
297,2022,Data Analyst,99000
298,2022,Data Analyst,60000
299,2022,Data Scientist,230000
300,2022,Data Scientist,150000
301,2022,Data Scientist,210000
302,2022,Data Analyst,170000
303,2022,Data Scientist,160000
304,2022,Data Scientist,130000
305,2022,Data Analyst,67000
306,2022,Data Analyst,52000
307,2022,Data Engineer,154000
308,2022,Data Engineer,126000
309,2022,Data Analyst,129000
310,2022,Data Analyst,150000
